task_id,family,mean_entropy_top20_nl,mean_entropy_top20_python,mean_entropy_full_nl,mean_entropy_full_python,mean_p1_nl,mean_p1_python,mean_top20_mass_nl,mean_top20_mass_python,delta_mean_entropy_top20,delta_mean_entropy_full
digit_sum,digit_aggregate,0.3079448772683702,0.1133264479458461,0.31348856172766626,0.11777612230555956,0.8878359803647706,0.9631793160957317,0.9994842614790406,0.9994765978168559,0.1946184293225241,0.1957124394221067
factorial_iterative,factorial_product,0.6511592755715052,0.12788980345794695,0.7078276361028353,0.13068473873984957,0.7857071086764336,0.9584239559868971,0.9934200376272201,0.9997553005814552,0.5232694721135582,0.5771428973629857
fibonacci_first_n,fibonacci,0.7554037268467558,0.22555191064509286,0.8065005284001084,0.23714468158945054,0.7364851553682928,0.9261015800846385,0.9932576439998769,0.9987142889465845,0.529851816201663,0.5693558468106579
fibonacci_nth,fibonacci,0.8289829061156319,0.21707444622853955,0.9402722077924878,0.23108513675289757,0.7415511197941278,0.9329611242891431,0.9854377412026928,0.9984446753252735,0.6119084598870923,0.7091870710395902
filter_mapping_by_value,dictionary_transform,0.3011244407590044,0.18557056038482658,0.30558855917603395,0.19153720577943623,0.8933466330847958,0.9414976529240072,0.9996316323263778,0.9993817476807415,0.11555388037417783,0.11405135339659772
filter_negative,sign_filter,0.45158098313726375,0.17992520690857927,0.4681513101417362,0.18184468000580287,0.8281611067177069,0.9251991143856926,0.9981404059262388,0.9998234544677295,0.2716557762286845,0.2863066301359334
filter_nonnegative,sign_filter,0.48168660651520834,0.23457708427027277,0.5051694425847048,0.2471937830783594,0.8264755150585463,0.9200032889842986,0.9971279701098849,0.998552151521047,0.24710952224493557,0.2579756595063454
first_even_index,first_match_index,0.49950133750964176,0.1215955484009813,0.5102975201268838,0.12363414648892497,0.8209728841073614,0.9669206372151772,0.9989386954320171,0.9997917295744022,0.37790578910866046,0.38666337363795883
first_negative_index,first_match_index,0.5650262835943424,0.16986274414324165,0.5847594039974163,0.17123478117446733,0.8133754356197579,0.9384896988156198,0.9978394825780202,0.9998902781256315,0.3951635394511007,0.413524622822949
flatten_lists,flatten_one_level,0.3783199765324734,0.1325701891456674,0.3816923672264459,0.1361210580518153,0.8629221818555793,0.9610591356952985,0.9996677097092327,0.9996192214034854,0.245749787386806,0.2455713091746306
flatten_pairs,flatten_one_level,0.5514623140959213,0.23219877091710553,0.5673316699320164,0.23716193375223857,0.7979360622931749,0.9182070717616106,0.9982360226985736,0.9995140685469553,0.3192635431788158,0.33016973617977785
frequency_map_chars,frequency_map,0.6042568889748472,0.15113197886770746,0.6372021420636774,0.1557307446150315,0.7734538304732378,0.9467049730840579,0.9946386002831988,0.9995263154192489,0.45312491010713973,0.4814713974486459
frequency_map_items,frequency_map,0.5845839158859547,0.17029883069878204,0.6138156000703902,0.17526780010049037,0.7785723956555805,0.9437535037314655,0.9953558207912878,0.9994727490176217,0.41428508518717266,0.4385477999698998
gcd_list,gcd_family,0.5674588241906046,0.18526319241354883,0.5771360008669338,0.18976003616690953,0.8032308492499093,0.9359706808967649,0.9989342261105776,0.9994709646564791,0.38219563177705573,0.38737596470002433
gcd_two,gcd_family,0.26043791263566074,0.1576417801249294,0.26902827993539435,0.16315121991125844,0.9109857570557368,0.9433915302341367,0.9989445306005932,0.9994197090466818,0.10279613251073133,0.10587706002413591
group_by_first_character,grouping,0.6294478947062488,0.18507024571316863,0.6723634999357562,0.19121369483256437,0.7806619221390022,0.9380534644810042,0.9934383789940577,0.9993486734116135,0.4443776489930802,0.48114980510319183
group_by_length,grouping,0.6167451360967827,0.17696517816076032,0.6496098059303493,0.1838177129369334,0.7882502727274202,0.939606772738169,0.9953337530677135,0.9992613975788136,0.4397799579360224,0.46579209299341595
insertion_sort_ascending,insertion_sort,0.5515215717204329,0.11114904816490719,0.5724299163298888,0.11482154877712607,0.8323082702027427,0.9647982780147547,0.9976857781410219,0.9995830835439277,0.44037252355552575,0.45760836755276274
insertion_sort_descending,insertion_sort,0.587931513812186,0.1234362916384667,0.6127429146345498,0.12657734370434556,0.8237501826551226,0.9554163325933366,0.9971827798419529,0.9996513123404064,0.4644952221737193,0.4861655709302042
integer_to_binary,base_conversion,0.6408077324878024,0.17869844943454993,0.6659829434355305,0.1815291766670788,0.7823485988709661,0.9441311848842031,0.997117907912643,0.999737088757802,0.4621092830532525,0.48445376676845175
